La Estación - Arévalo;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
San Vicente de Arévalo - Arévalo;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Villanueva de Gómez - Arévalo;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Aldeavieja - Ávila;ÁVILA;VACL-041;Avanza Líneas Interurbanas, S.L.;Demanda
Cabañas - Ávila;ÁVILA;VACL-013;Autobuses Hermanos Rodríguez, S.A.;Demanda
Gallegos de San Vicente - Ávila;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Narrillos de San Leonardo - Ávila;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Pajares de Adaja - Ávila;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
San Pascual - Ávila;ÁVILA;VACL-024;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Urraca-Miguel - Ávila;ÁVILA;VACL-041;Avanza Líneas Interurbanas, S.L.;Demanda
San Bartolomé de Béjar - Barco de Ávila;ÁVILA;VACL-044;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Cañicera Berlanga de Duero;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Demanda
Manzanares - Berlanga de Duero;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Demanda
Morales - Berlanga de Duero;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Demanda
Valverde de los Ajos - Berlanga de Duero;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Demanda
Ventosa de Fuentepinilla - Berlanga de Duero;SORIA;AECL-081;Moreno Sanz 2009, S.L.;Demanda
Navianos - Carbajales;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Demanda
Bustillo del Páramo de Carrión - Carrión de los Condes;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Demanda
Calzadilla de la Cueza - Carrión de los Condes;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Demanda
Carrión de los Condes - La Serna;PALENCIA;VACL-009;Abagón, S.L.;Demanda
Lomas - Carrión de los Condes;PALENCIA;VACL-009;Abagón, S.L.;Demanda
Villafruela Carrión de los Condes;PALENCIA;VACL-003;Autocares Tejedor H., S.L.;Demanda
Cebreros - Navaluenga;ÁVILA;VACL-036;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
El Hoyo de Pinares - Cebreros;ÁVILA;VACL-036;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
La Atalaya Cebreros;ÁVILA;VACL-036;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
Poblado de Burguillo - Cebreros;ÁVILA;VACL-036;Compañía Europea de Viajeros España, S.A. (Cevesa);Demanda
El Piñero - Corrales del Vino;ZAMORA;VACL-065;Autocares Siga Hermanos, S.L.;Demanda
Vinuesa Covaleda;SORIA;VACL-045;Automóviles La Serrana, S.L.;Demanda
Astudillo - Valbuena de Pisuerga;PALENCIA;AECL-049;Linecar, S.A.;Demanda
Valbuena de Pisuerga - Frómista;PALENCIA;AECL-049;Linecar, S.A.;Demanda
San Pedro Guardo;PALENCIA;VACL-009;Abagón, S.L.;Demanda
Villanueva de Arriba - Santibáñez de la Peña;PALENCIA;VACL-009;Abagón, S.L.;Demanda
Villaverde de la Peña - Guardo (Martes);PALENCIA;VACL-009;Abagón, S.L.;Demanda
Villaverde de la Peña - Guardo (Viernes);PALENCIA;VACL-009;Abagón, S.L.;Demanda
Villaverde de la Peña - Santibáñez de la Peña;PALENCIA;VACL-009;Abagón, S.L.;Demanda
Cuevas - Herrera;PALENCIA;AECL-014;Mª Teresita del Niño Jesús Ruíz Rodríguez;Demanda
La Rebolleda Herrera (Lunes);PALENCIA;AECL-013;Negrete Bus, S.L.;Demanda
La Rebolleda - Herrera (Miércoles y Jueves);PALENCIA;AECL-013;Negrete Bus, S.L.;Demanda
Mombuey - Asturianos;ZAMORA;VACL-141;Hermanos Vivas Santander, S.A.;Demanda
Fuentesaúco - Villaescusa;ZAMORA;VACL-026;Autobuses Urbanos de Ponferrada, S.A. (AUPSA);Demanda
San Miguel de la Ribera - Fuentesaúco;ZAMORA;VACL-065;Autocares Siga Hermanos, S.L.;Demanda
Mancera de Arriba - Ávila;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Demanda
Mancera de Arriba - Muñico;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Demanda
Rinconada Muñico;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Demanda
Valdecasa - Muñico;ÁVILA;VACL-035;Autobuses Hermanos Rodríguez, S.A.;Demanda
Ciria - Ólvega;SORIA;VACL-006;Sanz Tierno Autocares, S.L.;Demanda
Pinilla del Campo - Ólvega;SORIA;VACL-006;Sanz Tierno Autocares, S.L.;Demanda
Abia de las Torres - Osorno;PALENCIA;AECL-044;Guerrero Bus, S.L.;Demanda
